RTA ID,RTA Name,Parties concerned,Changes affect,Date of notification of changes,Date of signature of changes,Date of entry into force of changes,Remarks
5,EFTA - Egypt," Egypt, European Free Trade Association (EFTA)",Goods,2010-01-15,2008-11-04,2010-03-01,"Notification of the entry into force of Decision No. 2 of 2008 of the Joint EFTA-Egypt Committee, concerning amendments to Annex IV, regarding abolition of customs duties and charges having equivalent effect on imports between Egypt and the EFTA States.

Technical corrections amending Annex IV by addition of tariff lines. "
5,EFTA - Egypt," Egypt, European Free Trade Association (EFTA)",Goods,2013-06-26,2012-05-03,2012-05-24,"Notification of the entry into force of Decision No. 1 of 2012 of the Joint EFTA-Egypt Committee, concerning amendments to Protocol A, concerning processed agricultural products.

Extends the application of Protocol A for two years, until 1 August 2014, to allow for negotiations pursuant to Article 4 of Protocol A."
5,EFTA - Egypt," Egypt, European Free Trade Association (EFTA)",Goods,2013-06-26,2012-05-03,2013-05-01,"Notification of the entry into force of Decision No. 2 of 2012 of the Joint EFTA-Egypt Committee, concerning amendments to Protocol B, concerning the definition of the concept of “originating products” and methods of administrative cooperation. 

The transitional period for exemption from the drawback prohibition expired on 31 December 2009. Paragraph 7 of Article 15 provides for the possibility of extending its application by common accord and the Parties have agreed to a prolongation of the transitional period for partial duty drawback until 31 December 2012 to ensure legal certainty and predictability for economic operators. "
5,EFTA - Egypt," Egypt, European Free Trade Association (EFTA)",Goods,2015-03-24,2014-08-01,2014-08-01,"Notification of the entry into force of Decision No. 1 of 2014 of the Joint EFTA-Egypt Committee, concerning amendments to Protocol A, concerning processed agricultural products. 

Extends the application of Protocol A for two years, until 31 July 2016, to allow for negotiations pursuant to Article 4 of Protocol A. "
8,Chile - China," Chile, China",Goods & Services,2019-09-27,2017-11-11,2019-03-01,"The Protocol to Amend the Free Trade Agreement and the Supplementary Agreement on Trade in Services of the Free Trade Agreement between the Government of the Republic of Chile and the Government of the People's Republic of China (hereinafter referred to as ""the Protocol"") has integrated and upgraded the Free Trade Agreement and its Supplementary Agreement on Trade in Services, further raising the liberalization level of tariff concession and service commitments. The Protocol has also optimized the rules of origin and its procedures for implementation, increased areas of economic and technical cooperation. Furthermore, the Protocol added new chapters of Customs Procedures and Trade Facilitation, E-commerce, Competition and Environment and trade.
"
15,EFTA - Lebanon," Lebanese Republic, European Free Trade Association (EFTA)",Goods,2013-04-24,2011-03-03,2013-05-01,"Notification of the entry into force of Decision No. 1 of 2011 of the Joint EFTA-Lebanon Committee concerning the replacement of the Table to Annex IV by the Annex to this Decision. 

The Decision introduces adjustments in the HS structure of the Table to Annex IV to the Agreement. These adjustments are due to the amendments of the Nomenclature appended to the International Convention on the Harmonized Commodity Description and Coding System (HS), which entered into force on 1 January 2007."
21,"EFTA - Korea, Republic of"," Korea, Republic of, European Free Trade Association (EFTA)",Goods,2010-10-22,2009-04-21,2010-11-01,"Notification of the entry into force of Decision No. 2 of 2009 of the Joint EFTA-Korea Committee concerning amendments to Annex I, rules of origin and customs procedures. 

Adjustments in the structure of Appendix 2 and the table to Appendix 4 to Annex I in accordance with changes in the International Convention on the Harmonized Commodity Description and Coding System (HS), which entered into force on 1 January 2007. "
21,"EFTA - Korea, Republic of"," Korea, Republic of, European Free Trade Association (EFTA)",Goods,2010-10-22,2009-04-21,2011-01-01,"Notification of the entry into force of Decision No. 3 of 2009 of the Joint EFTA-Korea Committee concerning amendments to Annex III.

Amendment in accordance with changes in the International Convention on the Harmonized Commodity Description and Coding System (HS), which entered into force on 1 January 2007."
21,"EFTA - Korea, Republic of"," Korea, Republic of, European Free Trade Association (EFTA)",Goods,2010-10-22,2009-04-21,2011-01-01,"Notification of the entry into force of Decision No. 4 of 2009 of the Joint EFTA-Korea Committee concerning amendments to Annex IV, processed agricultural products.

Adjustments in the structure of Table 1 and Table 2 in accordance with changes in the International Convention on the Harmonized Commodity Description and Coding System (HS), which entered into force on 1 January 2007."
21,"EFTA - Korea, Republic of"," Korea, Republic of, European Free Trade Association (EFTA)",Goods,2010-10-22,2009-04-21,2011-01-01,"Notification of the entry into force of Decision No. 5 of 2009 of the Joint EFTA-Korea Committee concerning amendments to Annex V, concerning fish and other marine products. 

Technical amendments to Tables 1, 2 and 3 of Annex V to the EFTA-Korea Free Trade Agreement to harmonise the scope of the Annex, taking into consideration developments in international trade in fish and other marine products and in particular the discussions taking place in the WTO regarding the definition of fish and fisheries products. "
21,"EFTA - Korea, Republic of"," Korea, Republic of, European Free Trade Association (EFTA)",Goods,2010-10-22,2009-04-21,2010-11-01,"Notification of the entry into force of Decision No. 6 of 2009 of the Joint EFTA-Korea Committee concerning amendments to Annex VI, customs duties. 

Adjustments in the structure of Appendix to Annex VI in accordance with changes in the International Convention on the Harmonized Commodity Description and Coding System (HS), which entered into force on 1 January 2007. "
21,"EFTA - Korea, Republic of"," Korea, Republic of, European Free Trade Association (EFTA)",Goods,2012-01-13,2010-01-21,2012-01-01,"Notification of the entry into force of Decision No. 1 of 2010 of the Joint EFTA-Republic of Korea Committee concerning amendments to Annex I to the Agreement on Rules of Origin and Customs Procedures.

The Decision amends Annex I to the Agreement on Rules of Origin and Customs Procedures. "
